##NAMES=Magnesioferrite
##LOCALITY=Langban, Sweden
##RRUFFID=R060869
##CHEMISTRY=MgFe^3+^_2_O_4_
447.9157, 40.51154
448.3978, 33.93982
448.8799, 27.56702
449.3621, 22.66534
449.8442, 24.42120
450.3263, 36.90820
450.8084, 50.05109
451.2905, 59.97418
451.7726, 67.89532
452.2548, 65.39471
452.7369, 49.07074
453.2190, 28.67584
453.7011, 15.50714
454.1832, 9.788391
454.6653, 11.71222
455.1475, 25.03705
455.6296, 44.69232
456.1117, 57.17010
456.5938, 62.41791
457.0759, 61.88367
457.5580, 51.52765
458.0402, 36.44098
458.5223, 28.81464
459.0044, 31.91156
459.4865, 38.65063
459.9686, 43.06696
460.4507, 45.95740
460.9329, 49.25537
461.4150, 55.53412
461.8971, 61.19611
462.3792, 62.98425
462.8613, 60.71198
463.3434, 58.69611
463.8256, 60.97235
464.3077, 63.32391
464.7898, 62.16754
465.2719, 49.02045
465.7540, 40.84711
466.2361, 45.05280
466.7183, 57.25031
467.2004, 63.47443
467.6825, 54.73291
468.1646, 47.72534
468.6467, 48.98846
469.1288, 62.09930
469.6110, 69.21039
470.0930, 68.40479
470.5752, 63.70374
471.0573, 58.26978
471.5394, 50.35071
472.0215, 48.92755
472.5036, 58.74414
472.9857, 75.29272
473.4679, 80.26636
473.9500, 72.51257
474.4321, 63.22754
474.9142, 58.38104
475.3963, 57.87195
475.8784, 62.99200
476.3606, 75.59064
476.8427, 87.38507
477.3248, 87.04053
477.8069, 78.16547
478.2890, 70.04913
478.7711, 64.73322
479.2533, 60.93335
479.7354, 57.72198
480.2175, 55.36865
480.6996, 54.43585
481.1817, 56.00244
481.6638, 58.96490
482.1460, 62.20123
482.6281, 64.46814
483.1102, 67.39661
483.5923, 73.65381
484.0744, 81.01233
484.5565, 85.50360
485.0387, 82.20807
485.5208, 79.95331
486.0029, 83.01044
486.4850, 91.59674
486.9671, 92.73615
487.4492, 81.33887
487.9314, 67.93604
488.4135, 59.91559
488.8956, 60.05878
489.3777, 57.49261
489.8598, 50.31433
490.3419, 41.29785
490.8241, 35.64343
491.3062, 33.45319
491.7883, 34.30847
492.2704, 40.66284
492.7525, 50.14789
493.2346, 50.65320
493.7168, 41.52155
494.1989, 31.83575
494.6810, 32.20953
495.1631, 38.36670
495.6452, 39.41138
496.1273, 30.70190
496.6095, 20.12134
497.0916, 15.05280
497.5737, 14.65674
498.0558, 17.23218
498.5379, 25.32031
499.0201, 31.95306
499.5022, 31.71106
499.9843, 24.45428
500.4664, 17.92578
500.9485, 15.33167
501.4306, 13.79059
501.9127, 11.11346
502.3948, 2.731201
502.8770, 1.860413
503.3591, 0.6039430
503.8412, 7.446228
504.3233, 11.90479
504.8054, 11.25909
505.2875, 12.39325
505.7697, 19.86322
506.2518, 35.00256
506.7339, 36.49701
507.2160, 19.45886
507.6981, 0.1511230
508.1802, 5.321411
508.6624, 3.857300
509.1445, 11.76434
509.6266, 15.78180
510.1087, 17.07123
510.5908, 16.31396
511.0729, 13.97534
511.5551, 13.41516
512.0372, 20.81293
512.5193, 29.71808
513.0014, 28.57947
513.4835, 16.82733
513.9656, 5.432007
514.4478, 2.097229
514.9299, 3.440613
515.4120, 5.667542
515.8941, 7.034119
516.3762, 10.06171
516.8583, 19.06989
517.3405, 30.60254
517.8226, 36.40625
518.3047, 27.98706
518.7868, 19.82373
519.2689, 17.05237
519.7510, 20.37872
520.2332, 24.09283
520.7153, 27.40704
521.1974, 31.79010
521.6795, 39.36584
522.1616, 52.68579
522.6437, 60.05920
523.1259, 58.37555
523.6080, 52.15082
524.0901, 51.41687
524.5722, 56.55005
525.0543, 61.90796
525.5364, 66.53094
526.0186, 69.43195
526.5007, 65.83270
526.9828, 55.70264
527.4649, 45.89752
527.9470, 43.15588
528.4291, 44.38934
528.9113, 44.15930
529.3934, 40.26501
529.8755, 37.27795
530.3576, 40.45959
530.8397, 46.68860
531.3218, 50.21735
531.8040, 50.36682
532.2861, 45.87915
532.7682, 33.06189
533.2503, 12.01141
533.7324, 2.831665
534.2145, 4.522888
534.6967, 3.191895
535.1788, 4.573669
535.6609, 12.43872
536.1430, 15.20312
536.6251, 10.44806
537.1072, 2.590271
537.5894, 1.549255
538.0715, 1.675964
538.5536, 0.8638920
539.0357, 7.538940
539.5178, 16.05768
539.9999, 16.30573
540.4821, 8.078918
540.9642, 0.1710820
541.4463, 0.6152950
541.9284, 3.410950
542.4105, 7.292175
542.8926, 10.71002
543.3748, 12.85840
543.8569, 12.07935
544.3390, 9.735291
