PE IR       RAMAN       SPECTRUM    ASCII       PEDS        1.60        	
2334	0.214338
2333	0.209236
2332	0.256371
2331	0.32432
2330	0.368189
2329	0.378417
2328	0.364136
2327	0.3268
2326	0.279188
2325	0.249862
2324	0.24476
2323	0.241112
2322	0.23334
2321	0.239825
2320	0.257682
2319	0.262069
2318	0.253725
2317	0.253081
2316	0.252389
2315	0.232148
2314	0.211572
2313	0.218248
2312	0.229549
2311	0.212454
2310	0.19114
2309	0.202894
2308	0.226688
2307	0.225996
2306	0.216937
2305	0.22912
2304	0.245046
2303	0.236296
2302	0.215411
2301	0.206375
2300	0.204992
2299	0.201463
2298	0.20473
2297	0.218987
2296	0.227284
2295	0.215363
2294	0.192642
2293	0.17836
2292	0.178074
2291	0.180959
2290	0.17631
2289	0.169253
2288	0.171828
2287	0.183391
2286	0.192546
2285	0.195026
2284	0.193881
2283	0.18804
2282	0.17836
2281	0.175333
2280	0.182652
2279	0.186681
2278	0.182604
2277	0.188183
2276	0.209712
2275	0.225472
2274	0.226593
2273	0.234675
2272	0.256156
2271	0.266671
2270	0.261592
2269	0.264644
2268	0.27039
2267	0.245523
2266	0.2002
2265	0.183939
2264	0.202894
2263	0.215864
2262	0.211882
2261	0.214147
2260	0.215816
2259	0.193738
2258	0.169181
2257	0.175714
2256	0.192809
2255	0.18351
2254	0.163149
2253	0.162577
2252	0.166869
2251	0.153851
2250	0.145649
2249	0.166106
2248	0.193023
2247	0.198817
2246	0.194096
2245	0.194978
2244	0.192332
2243	0.180125
2242	0.173449
2241	0.180077
2240	0.186562
2239	0.184059
2238	0.181031
2237	0.183963
2236	0.183296
2235	0.166392
2234	0.139808
2233	0.128197
2232	0.143027
2231	0.163197
2230	0.167131
2229	0.165724
2228	0.174856
2227	0.180315
2226	0.17147
2225	0.174665
2224	0.206923
2223	0.237274
2222	0.241041
2221	0.240731
2220	0.247883
2219	0.231885
2218	0.189876
2217	0.169539
2216	0.1832
2215	0.183367
2214	0.154232
2213	0.137877
2212	0.148367
2211	0.151491
2210	0.142574
2209	0.155234
2208	0.184869
2207	0.188279
2206	0.160312
2205	0.136423
2204	0.127863
2203	0.121545
2202	0.124692
2201	0.145125
2200	0.156664
2199	0.138807
2198	0.118899
2197	0.127744
2196	0.150036
2195	0.159788
2194	0.165271
2193	0.180912
2192	0.192761
2191	0.185489
2190	0.171709
2189	0.172138
2188	0.189685
2187	0.215959
2186	0.243854
2185	0.264978
2184	0.26977
2183	0.257778
2182	0.24414
2181	0.248432
2180	0.268745
2179	0.274944
2178	0.243973
2177	0.194454
2176	0.164079
2175	0.163435
2174	0.178813
2173	0.202798
2172	0.2285
2171	0.235438
2170	0.217676
2169	0.200438
2168	0.198602
2167	0.192785
2166	0.17662
2165	0.177478
2164	0.199365
2163	0.205826
2162	0.188684
2161	0.18506
2160	0.202488
2159	0.204825
2158	0.188422
2157	0.190448
2156	0.209259
2155	0.202798
2154	0.170612
2153	0.154399
2152	0.15943
2151	0.156664
2150	0.150275
2149	0.164222
2148	0.183439
2147	0.181245
2146	0.17457
2145	0.187921
2144	0.200724
2143	0.188684
2142	0.174736
2141	0.187063
2140	0.209474
2139	0.216221
2138	0.216388
2137	0.227427
2136	0.241017
2135	0.241637
2134	0.232577
2133	0.2249
2132	0.220561
2131	0.216221
2130	0.212359
2129	0.213575
2128	0.220632
2127	0.226473
2126	0.226306
2125	0.226879
2124	0.233006
2123	0.233936
2122	0.223875
2121	0.221252
2120	0.239276
2119	0.256872
2118	0.254225
2117	0.249934
2116	0.265884
2115	0.286173
2114	0.288724
2113	0.283765
2112	0.284838
2111	0.280451
2110	0.268578
2109	0.271534
2108	0.290298
2107	0.295281
2106	0.28212
2105	0.278019
2104	0.281691
2103	0.264787
2102	0.238275
2101	0.241827
2100	0.2671
2099	0.267982
2098	0.243163
2097	0.230312
2096	0.232601
2095	0.229263
2094	0.235009
2093	0.270843
2092	0.307154
2091	0.30775
2090	0.292325
2089	0.290346
2088	0.28243
2087	0.244808
2086	0.202202
2085	0.18475
2084	0.18146
2083	0.17836
